termID,notes,shouldBeTranslated,translationNeedsToBeUpdated,English,Traditional Chinese,Simplified Chinese,Brazilian Portuguese,Polish,Japanese,Korean,Russian,French,German,Spanish,Italian,Ukranian
ctf_base_controls,,TRUE,FALSE,"LMB to shoot
RMB to aim down sight
SPACE to jump
SHIFT to sprint",,,,,,,,,,,,
ctf_base_pressescape,,TRUE,FALSE,"press escape to leave
",,,,,,,,,,,,
ctf_editor_automaticcascade,,TRUE,FALSE,the following entities have been detected since last edit and have been automatically cascaded.,,,,,,,,,,,,
ctf_editor_cannotdelete,,TRUE,FALSE,cannot delete [obj] as sigil_base+<hex>sarahc</hex> is dependent on it.,,,,,,,,,,,,
ctf_editor_class,"'class' like coding (category, group), not school-related",TRUE,FALSE,class,,,,,,,,,,,,
ctf_editor_compile,,TRUE,FALSE,compile,,,,,,,,,,,,
ctf_editor_compilegame,,TRUE,FALSE,compile game?,,,,,,,,,,,,
ctf_editor_compileinfo,,TRUE,FALSE,this will cascade all sigil changes and export as an executable.,,,,,,,,,,,,
ctf_editor_compilinggame,,TRUE,FALSE,compiling game,,,,,,,,,,,,
ctf_editor_controls,,TRUE,FALSE,"RMB - unlock cursor / WASD - move / LMB - select element / SHIFT - speed up /  DEL - delete selected / ",,,,,,,,,,,,
ctf_editor_debugscene,,TRUE,FALSE,debug scene,,,,,,,,,,,,
ctf_editor_delete,as in deleting a file,TRUE,FALSE,delete,,,,,,,,,,,,
ctf_editor_details,,TRUE,FALSE,details,,,,,,,,,,,,
ctf_editor_export,like exporting a file,TRUE,FALSE,export,,,,,,,,,,,,
ctf_editor_fatalerror,,TRUE,FALSE,FATAL ERROR,,,,,,,,,,,,
ctf_editor_gameinfo,,TRUE,FALSE,game application stopped unexpectedly.,,,,,,,,,,,,
ctf_editor_memoryexceeded,,TRUE,FALSE,error: memory usage exceeds budget! check sigil-starr component or optimise scene.,,,,,,,,,,,,
ctf_editor_move,'move' for when moving a model in a software,TRUE,FALSE,move,,,,,,,,,,,,
ctf_editor_newinfusedetected,,TRUE,FALSE,new sigil_infused detected,,,,,,,,,,,,
ctf_editor_objname,,TRUE,FALSE,obj_name,,,,,,,,,,,,
ctf_editor_openscript,,TRUE,FALSE,open script,,,,,,,,,,,,
ctf_editor_penta,don't translate penta,TRUE,FALSE,edit penta,,,,,,,,,,,,
ctf_editor_projectname,only translate project_name,TRUE,FALSE,project_name: ctf_beta (dev3),,,,,,,,,,,,
ctf_editor_signature,"not a person's signature, but a program's",TRUE,FALSE,signature,,,,,,,,,,,,
ctf_editor_status,"only translate status, copy rest",TRUE,FALSE,status<color=#B30000>(1),,,,,,,,,,,,
ctf_editor_type,"similar to category, type of object",TRUE,FALSE,type,,,,,,,,,,,,
ctf_editor_unsupportedinfo,,TRUE,FALSE,sigil_base has two signatures. this is unsupported.,,,,,,,,,,,,
ctf_forest,,TRUE,FALSE,ctf_forest,ctf_森林,ctf_senlin,ctf_floresta,pf_las,ctf_forest,ctf_숲,ctf_лес,,,,,
ctf_gorge,,TRUE,FALSE,ctf_gorge,ctf_峽谷,ctf_xiagu,ctf_ravina,pf_wawoz,ctf_gorge,ctf_협곡,ctf_ущелье,,,,,
ctf_loadingtext,,TRUE,FALSE,loading map data [mapname],載入地圖資料 [mapname],加载地图数据：[mapname],carregando dados do mapa [mapname],wczytywanie danych mapy [mapname],マップデータ[mapname]を読み込み中,[mapname] 맵 데이터 불러오는 중,загрузка данных карты [mapname],,,,,
ctf_new_flagdelivered,,TRUE,FALSE,flag delivered!,旗幟送達！,旗帜已送达！,bandeira entregue!,dostarczono flagę!,フラッグを届けた！,깃발 전달 완료!,флаг доставлен!,,,,,
ctf_new_flagmessage,,TRUE,FALSE,you have the flag!,你獲得了旗幟！,你已取得旗帜！,você está com a bandeira!,masz flagę!,フラッグを手に入れた！,깃발을 얻었습니다!,вы захватили флаг!,,,,,
ctf_new_menu_creategame_playercountlabel,,TRUE,FALSE,# of players,# 位玩家,玩家数,nº de jogadores,liczba graczy,プレイヤー数,플레이어 수,количество игроков,,,,,
ctf_new_playerlist_title,,TRUE,FALSE,players in match,遊戲中的玩家,名玩家正在游戏中,jogadores na partida,gracze w meczu,試合中のプレイヤー,경기 중인 플레이어,игроки матча,,,,,
ctf_new_waiting,,TRUE,FALSE,waiting for players,等待玩家,等待玩家中,aguardando jogadores,oczekiwanie na graczy,プレイヤーを待っています,플레이어 기다리는 중,ожидание игроков,,,,,
ctf_old_flagmessage,,TRUE,FALSE,you have the flag,你獲得了旗幟,你已取得旗帜！,você está com a bandeira,masz flagę,フラッグを手に入れた,깃발을 얻었습니다,вы захватили флаг,,,,,
ctf_old_menu_feedback_text,do not translate link,TRUE,TRUE,"thank you for playing the public demo for our capture-the-flag game.

to aid development, please submit any feedback or bug reports to the following web address:

   enuitgames.de/feedback

thank you.","感謝你遊玩我們的奪旗遊戲公開測試。

為了協助開發團隊，請將任何意見回饋或錯誤回報提交至以下網址：

enuitgames.de/feedback

謝謝你。","感谢您游玩我们的 ctf 夺旗游戏公开试玩版。

如欲协助开发，请前往我们的网站提交反馈意见：

enuitgames.de/feedback

感谢您的助力。","agradecemos por jogar a demo pública do nosso jogo de capturar a bandeira (ctf).

para ajudar no desenvolvimento, envie comentários ou comunique problemas no endereço da web:

   enuitgames.de/feedback

obrigado.","dziękujemy za wypróbowanie dema naszej gry przejmij flagę.

prosimy o przesyłanie wszelkich opinii lub raportów o błędach na następującej stronie:

   enuitgames.de/feedback

dziękujemy.","私たちのキャプチャー・ザ・フラッグゲームの公開デモをプレイしていただきありがとうございます。

開発を支援するため、フィードバックやバグ報告を以下のウェブアドレスに提出してください：

   enuitgames.de/feedback

よろしくお願いします。","깃발 뺏기 게임의 공개 데모를 플레이해 주셔서 감사합니다.

개발에 도움이 될 수 있도록 피드백이나 버그 보고서를 다음의 웹 주소로 제출해 주세요.

   enuitgames.de/feedback

감사합니다.","спасибо, что сыграли в публичную демо-версию нашей игры ""захват флага"".

чтобы помочь нам сделать игру лучше, пожалуйста, поделитесь своими впечатлениями или сообщите об ошибках по следующему адресу:

   enuitgames.de/feedback

спасибо.",,,,,
ctf_old_menu_feedback_title,,TRUE,FALSE,how to submit feedback,如何提交意見回饋,提交反馈意见,como enviar feedback,jak przesłać opinię,フィードバックの送り方,피드백 제출 방법,как оставить отзыв,,,,,
ctf_old_menu_returntip,"return is not a command, translate whole string",TRUE,TRUE,"(return) key
to submit","（返回）按鍵
以提交","按（返回）键
提交","tecla (enter)
para enviar","(powrót) przycisk
wprowadzania danych","（リターン）キー
送信","(엔터) 키로
제출","нажмите (enter) 
для подтверждения",,,,,
ctf_old_menu_title,"only translate ""ctf public alpha test"" ""navigate"" ""submit"" and ""back""",TRUE,FALSE,ctf public alpha test (<font=wingding SDF>éê</font> navigate <font=wingding SDF>è</font> submit <font=wingding SDF>ç</font> back),ctf 公開 alpha 測試（<font=wingding SDF>éê</font> 導向 <font=wingding SDF>è</font> 提交 <font=wingding SDF>ç</font> 返回）,ctf 公开 alpha 测试（<font=wingding SDF>éê</font>移动光标<font=wingding SDF>è</font>提交<font=wingding SDF>ç</font>返回）,teste alfa público de ctf (<font=wingding SDF>éê</font> navegar <font=wingding SDF>è</font> enviar <font=wingding SDF>ç</font> voltar),publiczna testowa wersja alfa pf (<font=wingding SDF>éê</font> nawigacja <font=wingding SDF>è</font> wprowadź <font=wingding SDF>ç</font> powrót),ctf公開アルファテスト（<font=wingding SDF>éê</font> 移動 <font=wingding SDF>è</font> 確定 <font=wingding SDF>ç</font> 戻る）,ctf 공개 알파 테스트(<font=wingding SDF>éê</font> 탐색 <font=wingding SDF>è</font> 제출 <font=wingding SDF>ç</font> 뒤로),ctf публичный альфа-тест (<font=wingding SDF>éê</font> навигация <font=wingding SDF>è</font> отправить <font=wingding SDF>ç</font> назад),,,,,
ctf_old_playerjoin,text is preceded by username in-game,TRUE,FALSE,joined the game,加入遊戲,已加入游戏,entrou no jogo,dołącza do gry,ゲームに参加しました,게임에 참여했습니다,присоединился к игре,,,,,
ctf_old_timer,"rem is remaining but shortened, try to also keep the text short in the translation",TRUE,FALSE,match rem. time [time],遊戲剩餘時間：[time],比赛剩余时间：[time],partida termina em [time],poz. czas meczu: [time],試合 残り時間[time],경기 남은 시간 [time],оставшееся время: [time],,,,,
ctf_old_versiontext,,TRUE,TRUE,"ctf v0.034indev - public test
(c) 1973 enuit ltd","ctf v0.034indev - 公開測試
(c) 1973 enuit ltd","ctf v0.034 indev - 公测版
(c) 1973 enuit ltd","ctf v0.034indev - teste público
(c) 1973 enuit ltd","pf v0.034indev – publiczna wersja testowa
(c) 1973 enuit ltd","ctf v0.034indev - 公開テスト
(c) 1973 enuit ltd","ctf v0.034indev - 공개 테스트
(c) 1973 enuit ltd","ctf v0.034indev - публичный тест
(c) 1973 enuit ltd",,,,,
ctf_skyscraper,,TRUE,FALSE,ctf_skyscraper,ctf_摩天大樓,ctf_dalou,ctf_arranhacéu,pf_wiezowiec,ctf_skyscraper,ctf_마천루,ctf_небоскреб,,,,,
ctf_town,,TRUE,FALSE,ctf_town,ctf_城鎮,ctf_xiaozhen,ctf_cidade,pf_miasto,ctf_town,ctf_마을,ctf_город,,,,,
date,,TRUE,FALSE,date,日期,日期,data,data,日付,날짜,дата,,,,,
demoend_desc1,,TRUE,FALSE,<b>thank you for playing the No Players Online demo!</b>,<b>感謝你遊玩《No Players Online 》試玩！</b>,<b>感谢您游玩《No Players Online》试玩版！</b>,<b>agradecemos por jogar a demo de No Players Online!</b>,<b>dziękujemy za grę w demo No Players Online!</b>,<b>No Players Onlineのデモをプレイしていただきありがとうございます！</b>,<b>No Players Online 데모를 플레이해 주셔서 감사합니다!</b>,"<b>спасибо, что сыграли в демоверсию No Players Online!</b>",,,,,
demoend_desc2,,TRUE,FALSE,please consider <b>adding the game to your wishlist</b> on steam.,歡迎在 Steam 上<b>將本遊戲新增至願望清單</b>。,我们邀请您将游戏加入您的<b>steam愿望单</b>。,que tal <b>adicionar o jogo à sua lista de desejos</b> do steam?,rozważ <b>dodanie gry do listy życzeń</b> na steamie.,ぜひsteamの<b>ウィッシュリストに追加</b>してください。,steam의 <b>찜 목록에 게임을 추가해</b> 주시는 건 어떨까요?,не забудьте <b>добавить игру в желаемое</b> в steam.,,,,,
demoend_desc3,,TRUE,FALSE,we are a tiny team of 3 people and you would really help us out! :),我們是 3 人的小型團隊，這樣對我們有很大的幫助！:),我们的团队只有三名成员，您的举手之劳将成为我们最大的助力！:),somos uma pequena equipe de 3 pessoas e seu apoio nos ajudaria muito! :),jesteśmy malutkim zespołem składającym się z 3 osób i bardzo by nam to pomogło! :),私たちは3人の小さなチームなので、あなたという存在は大きなサポートになります！:),"저희는 3명으로 구성된 소규모 팀이니, 큰 도움이 될 거예요! :)","мы маленькая команда из 3 человек, и ваша поддержка очень поможет нам! :)",,,,,
demoend_steamlink,,TRUE,FALSE,> go to steam <,> 前往 Steam <,> 前往 steam <,> ir para o steam <,> przejdź do steama <,> steamに移動 <,> steam으로 이동 <,> перейти в steam <,,,,,
desktop_topbar,,TRUE,FALSE,logged in as [username],以 [username] 的身分登入,已登录：[username],fez login como [username],zalogowano jako [username],[username]としてログイン中,[username] 사용자로 로그인됨,вы вошли как [username],,,,,
discord,,TRUE,FALSE,discord,,,,,,,,,,,,
discussion,,TRUE,FALSE,"discussion
","討論
","讨论
","discussão
","dyskusja
","ディスカッション
","토론
","обсуждение
",,,,,
dither effect,"this is a menu setting, not sure if dither needs to be translated, it refers to a graphical effect",TRUE,FALSE,dither effect,抖動效果,抖动效果,efeito de pontilhamento,efekt rozpraszania,ディザー効果,디더링 효과,эффект дизеринга,,,,,
download,,TRUE,FALSE,download,下載,下载,download,pobierz,ダウンロード,다운로드,скачать,,,,,
downloads,,TRUE,FALSE,downloads,下載,下载,downloads,pobrane,ダウンロード,다운로드,загрузки,,,,,
effects,,TRUE,FALSE,effects,效果,效果,efeitos,efekty,エフェクト,효과,эффекты,,,,,
empty,,TRUE,FALSE,empty,空,空,vazio,puste,なし,비어 있음,пусто,,,,,
end of post,text displayed at end of forum post,TRUE,FALSE,end of post,貼文結束,贴子底部,fim de publicação,koniec wątku,投稿はここまでです,게시물 끝,конец поста,,,,,
enter room name,,TRUE,FALSE,enter room name,輸入房間名稱,输入房间名称,insira o nome da sala,wprowadź nazwę pokoju,ルームの名前を入力してください,방 이름 입력,ввести название комнаты,,,,,
error,,TRUE,FALSE,error,錯誤,错误,erro,błąd,エラー,오류,ошибка,,,,,
ERROR,,TRUE,FALSE,ERROR,,,,,,,,,,,,
error_filenotfound,,TRUE,TRUE,"could not
find file","無法
找到檔案","无法
找到文件","não foi possível
encontrar o arquivo","nie znaleziono
pliku","ファイルが
見つかりません","파일을
찾을 수 없음","файл
не найден",,,,,
error_gamecrashcritical,,TRUE,TRUE,"<b>critical error</b>

[errorMessage]:
<i>""[reason]""</i>","<b>嚴重錯誤</b>

[errorMessage]：
<i>「[reason]」</i>","<b>致命错误</b>

[errorMessage]：
<i>“[reason]”</i>","<b>erro grave</b>

[errorMessage]:
<i>""[reason]""</i>","<b>błąd krytyczny</b>

[errorMessage]:
<i>[reason]</i>","<b>致命的なエラー</b>

[errorMessage]：
<i>「[reason]」</i>","<b>치명적 오류</b>

[errorMessage]:
<i>""[reason]""</i>","<b>критическая ошибка</b>

[errorMessage]:
<i>""[reason]""</i>",,,,,
error_incorrectpw,,TRUE,TRUE,"<b>incorrect password.</b>
double-check and try again.","<b>密碼錯誤。</b>
請重新檢查並再試一次。","<b>密码错误。</b>
请检查后重试。","<b>senha incorreta.</b>
verifique e tente novamente.","<b>nieprawidłowe hasło.</b>
sprawdź dwukrotnie i spróbuj ponownie.","<b>パスワードが正しくありません。</b>
確認して、もう一度お試しください","<b>잘못된 비밀번호입니다.</b>
재확인하고 다시 시도하세요.","<b>неверный пароль.</b>
попробуйте еще раз.",,,,,
error_loaddatafailed,,TRUE,FALSE,could not load data from file,無法從檔案中載入資料,无法加载文件数据,não foi possível carregar os dados do arquivo,nie można wczytać danych z pliku,ファイルからデータを読み込めませんでした,파일에서 데이터를 불러올 수 없음,не удалось загрузить данные из файла,,,,,
error_nopw,,TRUE,FALSE,please input a password.,請輸入密碼。,请输入密码。,insira uma senha.,wprowadź hasło.,パスワードを入力してください。,비밀번호를 입력해 주세요.,введите пароль.,,,,,
exit,,TRUE,FALSE,exit,離開,退出,sair,wyjdź,閉じる,종료,выйти,,,,,
extracting,when unzipping a zip file,TRUE,FALSE,extracting,擷取中,正在解压,extraindo,rozpakowywanie,抽出中,압축 푸는 중,извлечение,,,,,
favorite,,TRUE,FALSE,favorite,最愛,收藏夹,favorito,ulubiony,お気に入り,즐겨찾기,избранное,,,,,
feedback,,TRUE,FALSE,feedback,意見回饋,反馈,feedback,opinie,フィードバック,피드백,отзывы,,,,,
feedback and help,,TRUE,FALSE,feedback and help,意見回饋和協助,反馈和帮助,feedback e ajuda,opinie i pomoc,フィードバック＆協力,피드백 및 도움말,отзывы и поддержка,,,,,
file/file_20 summer days_folder,don't translate EXROW,TRUE,FALSE,[EXROW] 20 summer days,[EXROW] 20 天夏日,[EXROW]青春之夏 20 天,[EXROW] 20 dias de verão,[EXROW] 20 dni lata,[EXROW] 夏の二十日間,[EXROW] 스무 여름날,[EXROW] 20 дней лета,,,,,
file/file_'65 notes - stones,,TRUE,FALSE,'65 notes - stones,65 筆記：石頭,65 年笔记 - 石头,notas de 1965: pedras,notatki z 1965 – kamienie,'65備忘録 - 石,65년 메모 - 돌,заметки 1965 года: камни,,,,,
file/file_'66 notes - soul essence,,TRUE,FALSE,'66 notes - soul essence,66 筆記：靈魂本質,66 年笔记 - 灵魂精华,notas de 1966: essência de alma,notatki z 1966 – esencja duszy,'66備忘録 - ソウルエッセンス,66년 메모 - 영혼 정수,заметки 1966 года: сущность души,,,,,
file/file_'67 notes - ctf prototype,,TRUE,FALSE,'67 notes - ctf prototype,67 筆記：ctf 原型,67 年笔记 - ctf 游戏原型,notas de 1967: protótipo de ctf,notatki z 1967 – prototyp pf,'67備忘録 - ctfプロトタイプ,67년 메모 - ctf 프로토타입,заметки 1967 года: прототип ctf,,,,,
file/file_'68 notes - end,,TRUE,FALSE,'68 notes - end,68 筆記：結尾,68 年笔记 - 结束,notas de 1968: fim,notatki z 1968 – koniec,'68備忘録 - 終わり,68년 메모 - 끝,заметки 1968 года: конец,,,,,
file/file_alpha feedback (old),,TRUE,FALSE,alpha feedback (old),alpha 意見回饋（舊）,alpha 版本反馈（旧版）,feedback do alfa (antigo),"opinie (alfa, stara wersja)",アルファのフィードバック（旧）,알파 피드백(구 버전),отзывы альфа-тест (старая версия),,,,,
file/file_audio,,FALSE,FALSE,audio,,,,,,,,,,,,
file/file_audio player,,TRUE,FALSE,audio player,音效播放器,音频播放器,leitor de áudio,odtwarzacz dźwięku,オーディオプレーヤー,오디오 플레이어,проигрыватель звука,,,,,
file/file_background,,TRUE,FALSE,background,背景,背景,fundo,tło,背景,배경,фон,,,,,
file/file_bg,,FALSE,FALSE,bg,,,,,,,,,,,,
file/file_bg_campus,dont translate bg,TRUE,FALSE,bg_campus,bg_校園,bg_xiaoyuan,bg_campus,bg_kampus,bg_キャンパス,bg_캠퍼스,bg_кампус,,,,,
file/file_bg_class,dont translate bg,TRUE,FALSE,bg_class,bg_ 班級,bg_ketang,bg_classe,bg_klasa,bg_クラス,bg_수업,bg_класс,,,,,
file/file_bg_coffeeshop,dont translate bg,TRUE,FALSE,bg_coffeeshop,bg_ 咖啡廳,bg_kafeiguan,bg_cafeteria,bg_kawiarnia,bg_コーヒーショップ,bg_커피숍,bg_кофейня,,,,,
file/file_bg_dorm,dont translate bg,TRUE,FALSE,bg_dorm,bg_宿舍,bg_sushe,bg_dormitório,bg_internat,bg_寮,bg_기숙사,bg_общежитие,,,,,
file/file_bgm,,FALSE,FALSE,bgm,,,,,,,,,,,,
file/file_bin,,FALSE,FALSE,bin,,,,,,,,,,,,
file/file_boot,,FALSE,FALSE,boot,,,,,,,,,,,,
file/file_browser,,TRUE,FALSE,browser,,,,,,,,,,,,
file/file_cache,,FALSE,FALSE,cache,,,,,,,,,,,,
file/file_campus,,TRUE,FALSE,campus,校園,校园,campus,kampus,キャンパス,캠퍼스,кампус,,,,,
file/file_changelog,"name of a text file with changes to a game version, only translate if this is usually translated in the target language",TRUE,FALSE,changelog,changelog,改动日志,changelog,changelog,変更履歴,변경 내역,правки,,,,,
file/file_chat,,TRUE,FALSE,chat,,,,,,,,,,,,
file/file_classroom,,TRUE,FALSE,classroom,教室,课堂,sala de aula,klasa,教室,교실,класс,,,,,
file/file_clock,,TRUE,FALSE,clock,時鐘,时钟,relógio,zegar,時計,시계,часы,,,,,
file/file_clockgame v1,,TRUE,FALSE,clockgame v1,,,,,,,,,,,,
file/file_cool_song,keep underscore,TRUE,FALSE,cool_song,酷_歌曲,yinyue_niubi,música_legal,super_kawalek,クールな曲,멋진_노래,крутая_песня,,,,,
file/file_crack,"this is a folder name for pirating a game, in game pirating, a crack contains the tools for bypassing licensing. we're not sure if this is ever translated, but we leave it up to the translator",FALSE,FALSE,crack,,,,,,,,,,,,
file/file_ctf temp assets,,TRUE,FALSE,ctf temp assets,ctf 暫存內容,ctf 临时素材,recursos temporários de ctf,pf zasoby tymcz,ctf一時アセット,ctf 임시 애셋,ctf временные файлы,,,,,
file/file_ctf v0.034indev,,FALSE,FALSE,ctf v0.034indev,,,,,,,,,,,,
file/file_ctf_beta,,FALSE,FALSE,ctf_beta,,,,,,,,,,,,
file/file_ctf_indev,,FALSE,FALSE,ctf_indev,,,,,,,,,,,,
file/file_desktop,,TRUE,FALSE,desktop,桌面,桌面,área de trabalho,pulpit,デスクトップ,데스크톱,рабочий стол,,,,,
file/file_diver,,TRUE,FALSE,diver,潛水員,潜水员,mergulhador,nurek,ダイバー,잠수부,дайвер,,,,,
file/file_documents,,TRUE,FALSE,documents,文件,文档,documentos,dokumenty,ドキュメント,문서,документы,,,,,
file/file_dorm,,TRUE,FALSE,dorm,宿舍,宿舍,dormitório,internat,寮,기숙사,общежитие,,,,,
file/file_downloads,,TRUE,FALSE,downloads,下載,下载,downloads,pobrane,ダウンロード,다운로드,загрузки,,,,,
file/file_dungeon blade,,TRUE,FALSE,dungeon blade,,,,,,,,,,,,
file/file_enginedata,,FALSE,FALSE,enginedata,,,,,,,,,,,,
file/file_fallback_0,,FALSE,FALSE,fallback_0,,,,,,,,,,,,
file/file_file explorer,,TRUE,FALSE,file explorer,檔案總管,文件管理器,explorador de arquivos,eksplorator plików,ファイルエクスプローラー,파일 탐색기,проводник,,,,,
file/file_fish_01,,TRUE,FALSE,fish_01,魚_01,yu_01,peixe_01,ryba_01,魚_01,물고기_01,рыба_01,,,,,
file/file_fish_02,,TRUE,FALSE,fish_02,魚_02,yu_02,peixe_02,ryba_02,魚_02,물고기_02,рыба_02,,,,,
file/file_fish_03,,TRUE,FALSE,fish_03,魚_03,yu_03,peixe_03,ryba_03,魚_03,물고기_03,рыба_03,,,,,
file/file_fish_04,,TRUE,FALSE,fish_04,魚_04,yu_04,peixe_04,ryba_04,魚_04,물고기_04,рыба_04,,,,,
file/file_fish_05,,TRUE,FALSE,fish_05,魚_05,yu_05,peixe_05,ryba_05,魚_05,물고기_05,рыба_05,,,,,
